region_number,region_label,included_communities,population
38,La Puente--(Region:38),La Puente,40378
39,Valinda--(Region:39),Unincorporated-San Jose Hills;Unincorporated-Valinda,43986
40,Walnut--(Region:40),Unincorporated-Walnut;Walnut,30067
41,Diamond Bar--(Region:41),Diamond Bar,57127
42,Rowland Heights--(Region:42),Unincorporated-Rowland Heights,50863
43,Hacienda Heights--(Region:43),Unincorporated-Hacienda Heights,54634
44,Pico Rivera--(Region:44),Pico Rivera,64052
45,Whittier--(Region:45),"La Habra Heights;Unincorporated-La Habra
Heights;Unincorporated-Sunrise Village;Unincorporated-Whittier;Whittier",99118
46,La Mirada--(Region:46),La Mirada;Unincorporated-East La Mirada,54602
47,South Whittier--(Region:47),Unincorporated-East Whittier;Unincorporated-South Whittier,63072
48,West Whittier/Los Nietos--(Region:48),Santa Fe Springs;Unincorporated-West Whittier/Los Nietos,45219
49,Norwalk--(Region:49),Norwalk,104868
50,Downey--(Region:50),Downey,113811
51,Maywood--(Region:51),Commerce;Maywood;Unincorporated-Bandini Islands;Vernon,41472
52,Bell--(Region:52),Bell,36596
53,Huntington Park--(Region:53),Huntington Park,59508
54,Florence-Firestone--(Region:5 4),Unincorporated-Florence-Firestone;Unincorporated-Walnut Park,81770
55,South Gate--(Region:55),South Gate,99739
56,Bell Gardens--(Region:56),Bell Gardens;Cudahy,67342
57,Lynwood--(Region:57),Lynwood,72189
58,Paramount--(Region:58),Paramount,56225
59,Bellflower--(Region:59),Bellflower;Unincorporated-Lynwood,76060
60,Cerritos--(Region:60),Artesia;Cerritos;Unincorporated-Cerritos,66654
61,Lakewood--(Region:61),"Hawaiian Gardens;Lakewood;Signal
Hill;Unincorporated-Lakewood;Unincorporated-Long Beach",106281
62,Long Beach--(Region:62),Long Beach,483934
63,Compton--(Region:63),Compton;Unincorporated-East Rancho Dominguez;Unincorporated-Rosewood,118259
64,Willowbrook--(Region:64),Unincorporated-Athens Village;Unincorporated-Rosewood/East Gardena;Unincorporated-Rosewood/West Rancho Dominguez;Unincorporated-West Rancho Dominguez;Unincorporated-Willowbrook,43095
65,Carson--(Region:65),Carson;Unincorporated-Rancho Dominguez;Unincorporated-West Carson,118244
66,Rancho Palos Verdes--(Region:66),Rancho Palos Verdes,42908
67,Lomita--(Region:67),Lomita;Palos Verdes Estates;Rolling Hills;Rolling Hills Estates;Unincorporated-Palos Verdes Peninsula;Unincorporated-Westfield/Academy Hills,45781
68,Torrance--(Region:68),Torrance,146686
69,Redondo Beach--(Region:69),Redondo Beach,69316
70,Manhattan Beach--(Region:70),Hermosa Beach;Manhattan Beach,54881
71,El Segundo--(Region:71),El Segundo;Unincorporated-Del Aire;Unincorporated-Wiseburn,26864
72,Hawthorne--(Region:72),Hawthorne;Unincorporated-Hawthorne;Unincorporated-Lennox,114032
73,Lawndale--(Region:73),Lawndale;Unincorporated-El Camino Village,42232
