"location_number","location_label","level","region_number","region_label","date_reported","n_cases"
364,"Los Angeles - Harbor Gateway",2,83,"Harbor Gateway","2020-03-27",4
363,"Los Angeles - Harbor Pines",2,82,"Harbor City","2020-03-27",0
441,"Los Angeles - Harvard Heights",2,123,"Harvard Heights","2020-03-27",-1
375,"Los Angeles - Harvard Park",2,89,"Harvard Park","2020-03-27",1
427,"Los Angeles - Highland Park",2,115,"Highland Park","2020-03-27",5
453,"Los Angeles - Historic Filipinotown",2,133,"Temple-Beaudry","2020-03-27",0
459,"Los Angeles - Hollywood",2,135,"Hollywood","2020-03-27",30
460,"Los Angeles - Hollywood Hills",2,136,"Hollywood Hills","2020-03-27",19
376,"Los Angeles - Hyde Park",2,90,"Hyde Park","2020-03-27",2
413,"Los Angeles - Jefferson Park",2,105,"Leimert Park","2020-03-27",0
447,"Los Angeles - Koreatown",2,128,"Koreatown","2020-03-27",7
406,"Los Angeles - Lafayette Square",2,102,"Cloverdale/Cochran","2020-03-27",-1
496,"Los Angeles - Lake Balboa",2,157,"Lake Balboa","2020-03-27",3
472,"Los Angeles - Lakeview Terrace",2,142,"Sunland","2020-03-27",-1
414,"Los Angeles - Leimert Park",2,105,"Leimert Park","2020-03-27",-1
424,"Los Angeles - Lincoln Heights",2,113,"Lincoln Heights","2020-03-27",1
456,"Los Angeles - Little Armenia",2,134,"Los Feliz","2020-03-27",0
446,"Los Angeles - Little Bangladesh",2,127,"LittleBangladesh","2020-03-27",2
437,"Los Angeles - Little Tokyo",2,120,"Downtown","2020-03-27",0
407,"Los Angeles - Longwood",2,102,"Cloverdale/Cochran","2020-03-27",0
457,"Los Angeles - Los Feliz",2,134,"Los Feliz","2020-03-27",6
373,"Los Angeles - Manchester Square",2,88,"Vermont Knolls","2020-03-27",-1
492,"Los Angeles - Mandeville Canyon",2,155,"PacificPalisades","2020-03-27",-1
386,"Los Angeles - Mar Vista",2,95,"Mar Vista","2020-03-27",8
380,"Los Angeles - Marina Peninsula",2,92,"Playa Vista","2020-03-27",-1
450,"Los Angeles - Melrose",2,130,"Melrose","2020-03-27",49
402,"Los Angeles - Mid-city",2,101,"Miracle Mile","2020-03-27",8
403,"Los Angeles - Miracle Mile",2,101,"Miracle Mile","2020-03-27",7
476,"Los Angeles - Mission Hills",2,144,"San Fernando","2020-03-27",-1
431,"Los Angeles - Mt. Washington",2,118,"Mt. Washington","2020-03-27",-1
480,"Los Angeles - North Hills",2,147,"North Hills","2020-03-27",1
468,"Los Angeles - North Hollywood",2,139,"North Hollywood","2020-03-27",18
497,"Los Angeles - Northridge",2,158,"Northridge","2020-03-27",7
493,"Los Angeles - Pacific Palisades",2,155,"PacificPalisades","2020-03-27",10
475,"Los Angeles - Pacoima",2,143,"Pacoima","2020-03-27",2
494,"Los Angeles - Palisades Highlands",2,155,"PacificPalisades","2020-03-27",0
387,"Los Angeles - Palms",2,96,"Palms","2020-03-27",12
481,"Los Angeles - Panorama City",2,148,"Panorama City","2020-03-27",4
399,"Los Angeles - Park La Brea",2,100,"Park La Brea","2020-03-27",-1
443,"Los Angeles - Pico-Union",2,124,"Pico-Union","2020-03-27",5
381,"Los Angeles - Playa Del Rey",2,92,"Playa Vista","2020-03-27",-1
379,"Los Angeles - Playa Vista",2,92,"Playa Vista","2020-03-27",5
498,"Los Angeles - Porter Ranch",2,159,"Porter Ranch","2020-03-27",2
390,"Los Angeles - Rancho Park",2,97,"Century City","2020-03-27",-1
393,"Los Angeles - Regent Square",2,98,"Beverlywood","2020-03-27",0
507,"Los Angeles - Reseda",2,164,"Reseda","2020-03-27",8
505,"Los Angeles - Reseda Ranch",2,163,"Winnetka","2020-03-27",-1
394,"Los Angeles - Reynier Village",2,98,"Beverlywood","2020-03-27",-1
359,"Los Angeles - San Pedro",2,80,"San Pedro","2020-03-27",8
473,"Los Angeles - Shadow Hills",2,142,"Sunland","2020-03-27",-1
484,"Los Angeles - Sherman Oaks",2,151,"Sherman Oaks","2020-03-27",21
452,"Los Angeles - Silverlake",2,132,"Silverlake","2020-03-27",12
397,"Los Angeles - South Carthay",2,99,"Crestview","2020-03-27",5
419,"Los Angeles - South Park",2,108,"South Park","2020-03-27",3
408,"Los Angeles - St Elmo Village",2,102,"Cloverdale/Cochran","2020-03-27",0
461,"Los Angeles - Studio City",2,137,"Studio City","2020-03-27",10
469,"Los Angeles - Sun Valley",2,140,"Sun Valley","2020-03-27",3
474,"Los Angeles - Sunland",2,142,"Sunland","2020-03-27",0
404,"Los Angeles - Sycamore Square",2,101,"Miracle Mile","2020-03-27",0
478,"Los Angeles - Sylmar",2,145,"Sylmar","2020-03-27",4
508,"Los Angeles - Tarzana",2,165,"Tarzana","2020-03-27",17
454,"Los Angeles - Temple-Beaudry",2,133,"Temple-Beaudry","2020-03-27",5
458,"Los Angeles - Thai Town",2,134,"Los Feliz","2020-03-27",-1
462,"Los Angeles - Toluca Lake",2,137,"Studio City","2020-03-27",-1
463,"Los Angeles - Toluca Terrace",2,137,"Studio City","2020-03-27",0
464,"Los Angeles - Toluca Woods",2,137,"Studio City","2020-03-27",0
471,"Los Angeles - Tujunga",2,141,"Tujunga","2020-03-27",2
426,"Los Angeles - University Hills",2,114,"El Sereno","2020-03-27",0
439,"Los Angeles - University Park",2,121,"University Park","2020-03-27",4
466,"Los Angeles - Valley Glen",2,138,"Valley Glen","2020-03-27",2
467,"Los Angeles - Valley Village",2,138,"Valley Glen","2020-03-27",13
483,"Los Angeles - Van Nuys",2,150,"Van Nuys","2020-03-27",4
385,"Los Angeles - Venice",2,94,"Venice","2020-03-27",11
374,"Los Angeles - Vermont Knolls",2,88,"Vermont Knolls","2020-03-27",-1
416,"Los Angeles - Vermont Square",2,106,"West Vernon","2020-03-27",-1
370,"Los Angeles - Vermont Vista",2,86,"Vermont Vista","2020-03-27",2
420,"Los Angeles - Vernon Central",2,109,"Vernon Central","2020-03-27",3
442,"Los Angeles - Victoria Park",2,123,"Harvard Heights","2020-03-27",-1
377,"Los Angeles - View Heights",2,90,"Hyde Park","2020-03-27",0
368,"Los Angeles - Watts",2,85,"Watts","2020-03-27",1
415,"Los Angeles - Wellington Square",2,105,"Leimert Park","2020-03-27",0
440,"Los Angeles - West Adams",2,122,"West Adams","2020-03-27",6
500,"Los Angeles - West Hills",2,161,"West Hills","2020-03-27",5
490,"Los Angeles - West Los Angeles",2,154,"West LosAngeles","2020-03-27",9
417,"Los Angeles - West Vernon",2,106,"West Vernon","2020-03-27",6
378,"Los Angeles - Westchester",2,91,"Westchester","2020-03-27",8
444,"Los Angeles - Westlake",2,125,"Westlake","2020-03-27",1
489,"Los Angeles - Westwood",2,153,"Westwood","2020-03-27",16
422,"Los Angeles - Wholesale District",2,111,"WholesaleDistrict","2020-03-27",8
361,"Los Angeles - Wilmington",2,81,"Wilmington","2020-03-27",5
445,"Los Angeles - Wilshire Center",2,126,"Wilshire Center","2020-03-27",4
506,"Los Angeles - Winnetka",2,163,"Winnetka","2020-03-27",3
509,"Los Angeles - Woodland Hills",2,166,"Woodland Hills","2020-03-27",14
308,"Lynwood",2,57,"Lynwood","2020-03-27",8
514,"Malibu",2,169,"Santa MonicaMountains","2020-03-27",-1
